orderID,sentBy,orderTime,itemVal,closedBy,restName,paidBy,from,item,itemCount,table,closedAt
1,P1,2021-09-21 15:22:07.460000+00:00,29.67,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d14,2021-09-21 15:59:31.292000+00:00
2,P1,2021-08-13 15:52:51.374000+00:00,17.82,testCafeAdmin,testCafe,card,admin,Limonata,1,d10,2021-08-13 16:32:58.367000+00:00
3,P1,2021-08-24 14:00:40.188999+00:00,28,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d6,2021-08-24 14:34:27.049000+00:00
4,P2,2021-08-11 14:21:51.420000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s1,2021-08-11 14:58:30.937000+00:00
5,P3,2021-09-07 14:47:29.545000+00:00,30,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d4,2021-09-07 15:19:11.565999+00:00
6,P6,2021-08-20 15:18:08.628999+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d4,2021-08-20 15:52:37.885999+00:00
7,P5,2021-08-03 09:50:10.811000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s4,2021-08-03 10:14:15.085999+00:00
8,P6,2021-08-10 14:26:58.990999+00:00,27,testCafeAdmin,testCafe,cash,admin,Islak kek,1,s3,2021-08-10 15:03:03.743999+00:00
9,P6,2021-08-26 13:58:42.210000+00:00,10,testCafeAdmin,testCafe,card,admin,SU,2,s7,2021-08-26 15:11:47.168999+00:00
10,P3,2021-09-12 16:16:04.851000+00:00,27.37,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,2,d16,2021-09-12 16:47:48.349999+00:00
11,P1,2021-07-24 19:26:39.509000+00:00,17.6,testCafeAdmin,testCafe,cash,admin,Cappucino,1,s6,2021-07-24 19:48:38.819999+00:00
12,P3,2021-09-08 17:54:17.115999+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,b4,2021-09-08 18:23:22.414999+00:00
13,P5,2021-07-14 19:31:40.451999+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d14,2021-07-14 20:09:02.173000+00:00
14,P2,2021-08-10 17:09:32.956000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d19,2021-08-10 17:50:24.490000+00:00
15,P6,2021-08-07 19:39:15.621000+00:00,8.415,testCafeAdmin,testCafe,cash,admin,SU,2,d10,2021-08-07 19:49:57.997999+00:00
16,P5,2021-07-12 16:37:22.329999+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,s9,2021-07-12 16:48:09.898999+00:00
17,P7,2021-09-17 16:52:45.324000+00:00,4.945,testCafeAdmin,testCafe,cash,admin,SU,1,s2,2021-09-17 16:56:33.236000+00:00
18,P1,2021-08-15 13:30:04.446000+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d7,2021-08-15 14:19:59.595999+00:00
19,P5,2021-08-17 08:01:32.869999+00:00,16,testCafeAdmin,testCafe,cash,admin,Cappucino,1,s5,2021-08-17 08:19:04.285000+00:00
20,P5,2021-07-13 10:36:58.075999+00:00,10.8,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,d12,2021-07-13 11:06:48.496000+00:00
21,P1,2021-09-21 16:03:27.221999+00:00,22.011,testCafeAdmin,testCafe,cash,admin,Limonata,1,d5,2021-09-21 16:33:10.793000+00:00
22,P3,2021-09-11 18:18:17.084000+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d5,2021-09-11 19:08:07.279999+00:00
23,P6,2021-08-24 16:47:02.865000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d4,2021-08-24 17:07:14.937999+00:00
24,P1,2021-08-08 18:47:23.394999+00:00,93.15,testCafeAdmin,testCafe,card,admin,Oralet,3,b4,2021-08-08 19:24:26.789999+00:00
25,P3,2021-09-02 16:18:23.450000+00:00,14.835,testCafeAdmin,testCafe,cash,admin,Çay,3,d8,2021-09-02 17:23:08.443000+00:00
26,P1,2021-07-27 11:56:09.193000+00:00,5,testCafeAdmin,testCafe,cash,admin,Çay,1,s3,2021-07-27 12:16:22.155999+00:00
27,P2,2021-08-15 18:58:16.989000+00:00,4.2,testCafeAdmin,testCafe,cash,admin,Çay,1,d16,2021-08-15 19:48:27.186000+00:00
28,P7,2021-09-20 18:55:40.214999+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d6,2021-09-20 19:13:19.549000+00:00
29,P5,2021-07-18 17:32:59.328000+00:00,3,testCafeAdmin,testCafe,cash,admin,Çay,1,d15,2021-07-18 20:53:04.907999+00:00
30,P1,2021-07-18 15:50:23.885999+00:00,20.9,testCafeAdmin,testCafe,cash,admin,Kivi,1,d12,2021-07-18 17:43:48.605000+00:00
31,P5,2021-08-06 14:47:44.016000+00:00,5,testCafeAdmin,testCafe,cash,admin,Çay,1,d11,2021-08-06 15:13:21.954999+00:00
32,P1,2021-07-21 19:03:00.188999+00:00,17.6,testCafeAdmin,testCafe,cash,admin,Cappucino,1,d5,2021-07-21 19:57:29.483999+00:00
33,P7,2021-09-30 16:39:27.372999+00:00,30,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s1,2021-09-30 17:35:28.099000+00:00
34,P1,2021-08-18 15:14:52.440999+00:00,12,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,s4,2021-08-18 15:34:52.190000+00:00
35,P7,2021-09-25 18:09:19.450999+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d4,2021-09-25 18:18:39.839000+00:00
36,P2,2021-07-31 13:33:29.990999+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s5,2021-07-31 13:42:34.831000+00:00
37,P1,2021-07-18 10:18:04.892999+00:00,16.2,testCafeAdmin,testCafe,cash,admin,Yeşil Çay,1,s1,2021-07-18 10:51:44.500000+00:00
38,P7,2021-09-17 16:13:13.796000+00:00,10,testCafeAdmin,testCafe,cash,admin,SU,2,b8,2021-09-17 16:29:32.152000+00:00
39,P7,2021-09-30 16:28:24.863000+00:00,20.01,testCafeAdmin,testCafe,cash,admin,SU,4,d6,2021-09-30 17:32:15.844000+00:00
40,P2,2021-08-11 19:31:09.894000+00:00,15,testCafeAdmin,testCafe,cash,admin,Filtre Kahve,1,d14,2021-08-11 20:23:50.042000+00:00
41,P6,2021-08-01 15:20:10.098999+00:00,28,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s3,2021-08-01 15:40:05.634000+00:00
42,P6,2021-08-16 16:12:20.244999+00:00,15,testCafeAdmin,testCafe,cash,admin,Americano,1,d7,2021-08-16 16:56:28.503999+00:00
43,P1,2021-09-07 18:40:36.963999+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,b8,2021-09-07 19:03:17.586999+00:00
44,P3,2021-09-11 20:03:12.723999+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d1,2021-09-11 20:20:19.127000+00:00
45,P3,2021-09-11 14:04:17.997999+00:00,15.525,testCafeAdmin,testCafe,card,admin,Çay,3,s6,2021-09-11 14:20:27.533999+00:00
46,P1,2021-07-13 19:00:36.904999+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d12,2021-07-13 20:19:39.115999+00:00
